title,text,label
Verified News Report 145,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 145.",REAL
Verified News Report 146,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 146.",REAL
Verified News Report 147,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 147.",REAL
Verified News Report 148,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 148.",REAL
Verified News Report 149,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 149.",REAL
Verified News Report 150,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 150.",REAL
Verified News Report 151,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 151.",REAL
Verified News Report 152,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 152.",REAL
Verified News Report 153,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 153.",REAL
Verified News Report 154,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 154.",REAL
Verified News Report 155,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 155.",REAL
Verified News Report 156,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 156.",REAL
Verified News Report 157,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 157.",REAL
Verified News Report 158,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 158.",REAL
Verified News Report 159,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 159.",REAL
Verified News Report 160,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 160.",REAL
Verified News Report 161,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 161.",REAL
Verified News Report 162,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 162.",REAL
Verified News Report 163,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 163.",REAL
Verified News Report 164,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 164.",REAL
Verified News Report 165,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 165.",REAL
Verified News Report 166,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 166.",REAL
Verified News Report 167,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 167.",REAL
Verified News Report 168,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 168.",REAL
Verified News Report 169,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 169.",REAL
Verified News Report 170,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 170.",REAL
Verified News Report 171,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 171.",REAL
Verified News Report 172,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 172.",REAL
Verified News Report 173,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 173.",REAL
Verified News Report 174,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 174.",REAL
Verified News Report 175,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 175.",REAL
Verified News Report 176,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 176.",REAL
Verified News Report 177,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 177.",REAL
Verified News Report 178,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 178.",REAL
Verified News Report 179,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 179.",REAL
Verified News Report 180,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 180.",REAL
Verified News Report 181,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 181.",REAL
Verified News Report 182,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 182.",REAL
Verified News Report 183,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 183.",REAL
Verified News Report 184,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 184.",REAL
Verified News Report 185,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 185.",REAL
Verified News Report 186,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 186.",REAL
Verified News Report 187,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 187.",REAL
Verified News Report 188,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 188.",REAL
Verified News Report 189,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 189.",REAL
Verified News Report 190,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 190.",REAL
Verified News Report 191,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 191.",REAL
Verified News Report 192,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 192.",REAL
Verified News Report 193,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 193.",REAL
Verified News Report 194,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 194.",REAL
Verified News Report 195,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 195.",REAL
Verified News Report 196,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 196.",REAL
Verified News Report 197,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 197.",REAL
Verified News Report 198,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 198.",REAL
Verified News Report 199,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 199.",REAL
Verified News Report 200,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 200.",REAL
Verified News Report 201,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 201.",REAL
Verified News Report 202,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 202.",REAL
Verified News Report 203,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 203.",REAL
Verified News Report 204,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 204.",REAL
Verified News Report 205,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 205.",REAL
Verified News Report 206,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 206.",REAL
Verified News Report 207,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 207.",REAL
Verified News Report 208,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 208.",REAL
Verified News Report 209,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 209.",REAL
Verified News Report 210,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 210.",REAL
Verified News Report 211,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 211.",REAL
Verified News Report 212,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 212.",REAL
Verified News Report 213,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 213.",REAL
Verified News Report 214,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 214.",REAL
Verified News Report 215,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 215.",REAL
Verified News Report 216,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 216.",REAL
Verified News Report 217,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 217.",REAL
Verified News Report 218,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 218.",REAL
Verified News Report 219,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 219.",REAL
Verified News Report 220,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 220.",REAL
Verified News Report 221,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 221.",REAL
Verified News Report 222,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 222.",REAL
Verified News Report 223,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 223.",REAL
Verified News Report 224,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 224.",REAL
Verified News Report 225,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 225.",REAL
Verified News Report 226,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 226.",REAL
Verified News Report 227,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 227.",REAL
Verified News Report 228,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 228.",REAL
Verified News Report 229,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 229.",REAL
Verified News Report 230,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 230.",REAL
Verified News Report 231,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 231.",REAL
Verified News Report 232,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 232.",REAL
Verified News Report 233,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 233.",REAL
Verified News Report 234,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 234.",REAL
Verified News Report 235,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 235.",REAL
Verified News Report 236,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 236.",REAL
Verified News Report 237,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 237.",REAL
Verified News Report 238,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 238.",REAL
Verified News Report 239,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 239.",REAL
Verified News Report 240,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 240.",REAL
Verified News Report 241,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 241.",REAL
Verified News Report 242,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 242.",REAL
Verified News Report 243,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 243.",REAL
Verified News Report 244,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 244.",REAL
Verified News Report 245,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 245.",REAL
Verified News Report 246,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 246.",REAL
Verified News Report 247,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 247.",REAL
Verified News Report 248,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 248.",REAL
Verified News Report 249,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 249.",REAL
Verified News Report 250,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 250.",REAL
Verified News Report 251,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 251.",REAL
Verified News Report 252,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 252.",REAL
Verified News Report 253,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 253.",REAL
Verified News Report 254,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 254.",REAL
Verified News Report 255,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 255.",REAL
Verified News Report 256,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 256.",REAL
Verified News Report 257,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 257.",REAL
Verified News Report 258,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 258.",REAL
Verified News Report 259,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 259.",REAL
Verified News Report 260,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 260.",REAL
Verified News Report 261,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 261.",REAL
Verified News Report 262,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 262.",REAL
Verified News Report 263,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 263.",REAL
Verified News Report 264,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 264.",REAL
Verified News Report 265,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 265.",REAL
Verified News Report 266,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 266.",REAL
Verified News Report 267,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 267.",REAL
Verified News Report 268,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 268.",REAL
Verified News Report 269,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 269.",REAL
Verified News Report 270,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 270.",REAL
Verified News Report 271,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 271.",REAL
Verified News Report 272,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 272.",REAL
Verified News Report 273,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 273.",REAL
Verified News Report 274,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 274.",REAL
Verified News Report 275,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 275.",REAL
Verified News Report 276,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 276.",REAL
Verified News Report 277,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 277.",REAL
Verified News Report 278,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 278.",REAL
Verified News Report 279,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 279.",REAL
Verified News Report 280,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 280.",REAL
Verified News Report 281,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 281.",REAL
Verified News Report 282,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 282.",REAL
Verified News Report 283,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 283.",REAL
Verified News Report 284,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 284.",REAL
Verified News Report 285,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 285.",REAL
Verified News Report 286,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 286.",REAL
Verified News Report 287,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 287.",REAL
Verified News Report 288,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 288.",REAL
Verified News Report 289,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 289.",REAL
Verified News Report 290,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 290.",REAL
Verified News Report 291,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 291.",REAL
Verified News Report 292,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 292.",REAL
Verified News Report 293,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 293.",REAL
Verified News Report 294,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 294.",REAL
Verified News Report 295,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 295.",REAL
Verified News Report 296,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 296.",REAL
Verified News Report 297,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 297.",REAL
Verified News Report 298,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 298.",REAL
Verified News Report 299,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 299.",REAL
Verified News Report 300,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 300.",REAL
Verified News Report 301,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 301.",REAL
Verified News Report 302,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 302.",REAL
Verified News Report 303,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 303.",REAL
Verified News Report 304,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 304.",REAL
Verified News Report 305,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 305.",REAL
Verified News Report 306,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 306.",REAL
Verified News Report 307,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 307.",REAL
Verified News Report 308,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 308.",REAL
Verified News Report 309,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 309.",REAL
Verified News Report 310,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 310.",REAL
